id,estacion,linea,grado,betweenness,closeness,autovector,excentricidad,r_grado,r_betweenness,r_closeness,r_autovector,r_excentricidad,score_central,score_periferico
1,Plaza de Mayo,A,1,0.0,0.046049188906331764,0.11029823290435807,43,82.0,82.0,48.0,23.0,49.0,56.8,34.35
2,Perú,A,4,0.08642459073493555,0.050662061024755324,0.2377569306701636,41,1.0,53.0,22.0,5.0,32.0,22.6,78.15
3,Piedras,A,2,0.06687565308254964,0.049189491335941866,0.20825430974492312,43,20.0,57.0,37.0,8.0,49.0,34.2,50.85
4,Lima,A,3,0.10623476140717523,0.04985835694050991,0.21115189184210295,41,6.0,39.0,32.0,7.0,32.0,23.2,74.9
5,Sáenz Peña,A,2,0.09334726576105885,0.048916064480266815,0.14585981161492045,41,20.0,45.0,41.0,17.0,32.0,31.0,53.4
6,Congreso,A,2,0.09256356670149772,0.04897050639955482,0.10325872651910808,43,20.0,46.0,39.0,26.0,49.0,36.0,48.35
7,Pasco,A,2,0.09622082897944965,0.0497456189937818,0.07671924174370678,43,20.0,44.0,34.0,32.0,49.0,35.8,48.85
8,Alberti,A,2,0.10366597004528039,0.05137186223000584,0.06211044204833151,41,20.0,42.0,16.0,40.0,32.0,30.0,54.4
9,Plaza Miserere,A,3,0.2383315917798676,0.05356055995130858,0.05715713664657793,39,6.0,5.0,10.0,43.0,20.0,16.8,83.95
10,Loria,A,2,0.1671891327063741,0.04929971988795518,0.03861739574114034,41,20.0,12.0,36.0,51.0,32.0,30.2,53.9
11,Castro Barros,A,2,0.14811912225705332,0.04557224236147074,0.026077618298908638,43,20.0,16.0,51.0,57.0,49.0,38.6,44.6
12,Río de Janeiro,A,2,0.12852664576802508,0.0422873618452667,0.01758874911638085,45,20.0,20.0,59.0,62.0,63.0,44.8,38.95
13,Acoyte,A,2,0.10841170323928946,0.039373601789709174,0.011831553565372344,47,20.0,35.0,66.0,68.0,68.0,51.4,31.15
14,Primera Junta,A,2,0.08777429467084641,0.03677392394483912,0.007911473579549601,49,20.0,47.0,71.0,72.0,72.0,56.4,25.1
15,Puan,A,2,0.06661442006269593,0.03444227005870842,0.005219531040137925,51,20.0,58.0,75.0,77.0,76.0,61.2,19.05
16,Carabobo,A,2,0.04493207941483804,0.03234105108416024,0.0033376441898155906,53,20.0,63.0,79.0,81.0,80.0,64.6,15.0
17,San José de Flores,A,2,0.022727272727272728,0.030439294361812523,0.0019736309349583673,55,20.0,72.0,83.0,84.0,84.0,68.6,9.7
18,San Pedrito,A,1,0.0,0.02871125611745514,0.0009157904839828891,57,82.0,82.0,87.0,88.0,87.0,85.2,2.35
19,Leandro N. Alem,B,2,0.030825496342737724,0.04602510460251046,0.08491918719265118,43,20.0,70.0,49.0,29.0,49.0,43.4,39.35
20,Florida,B,2,0.04009926854754441,0.04793028322440087,0.11701748766402688,41,20.0,69.0,43.0,21.0,32.0,37.0,45.9
21,Carlos Pellegrini,B,4,0.11603099965168934,0.05045871559633028,0.16731946617709031,40,1.0,32.0,25.0,15.0,25.0,19.6,82.55
22,Uruguay,B,2,0.10218564959944273,0.0505166475315729,0.11878288662106691,38,20.0,43.0,23.0,20.0,14.0,24.0,62.2
23,Callao,B,2,0.10440613026819927,0.05069124423963134,0.0887216342532127,40,20.0,41.0,21.0,28.0,25.0,27.0,59.05
24,Pasteur,B,2,0.11015325670498087,0.052318668252080855,0.07245670594813614,38,20.0,34.0,14.0,33.0,14.0,23.0,63.7
25,Pueyrredón,B,3,0.2402037617554859,0.05432098765432099,0.06745495736793301,36,6.0,4.0,6.0,36.0,9.0,12.2,89.75
26,Carlos Gardel,B,2,0.1671891327063741,0.049943246311010214,0.045575528786451124,38,20.0,12.0,28.0,49.0,14.0,24.6,60.95
27,Medrano,B,2,0.14811912225705332,0.04612159329140461,0.03077674543441659,40,20.0,16.0,47.0,54.0,25.0,32.4,51.55
28,Ángel Gallardo,B,2,0.12852664576802508,0.042759961127308066,0.020758523835228818,42,20.0,20.0,58.0,60.0,44.0,40.4,42.9
29,Malabia,B,2,0.10841170323928946,0.039783001808318265,0.01396402664817542,44,20.0,35.0,65.0,65.0,58.0,48.6,33.35
30,Dorrego,B,2,0.08777429467084641,0.03713080168776371,0.009337574994401406,46,20.0,47.0,70.0,70.0,65.0,54.4,26.85
31,Federico Lacroze,B,2,0.06661442006269593,0.03475513428120063,0.006160502125146671,48,20.0,58.0,74.0,74.0,69.0,59.0,21.05
32,Tronador,B,2,0.04493207941483804,0.03261675315048184,0.003939418151551838,50,20.0,63.0,78.0,79.0,73.0,62.6,16.75
33,De los Incas,B,2,0.022727272727272728,0.030683403068340307,0.0023295078032484363,52,20.0,72.0,82.0,83.0,77.0,66.8,11.2
34,Juan Manuel de Rosas,B,1,0.0,0.028928336620644313,0.001080932296091031,54,82.0,82.0,86.0,87.0,81.0,83.6,3.65
35,Retiro,C,2,0.002220480668756531,0.041237113402061855,0.055446887864153006,41,20.0,81.0,61.0,44.0,32.0,47.6,32.65
36,General San Martín,C,2,0.022596656217345874,0.04446690247599798,0.1038908269337995,39,20.0,79.0,54.0,25.0,20.0,39.6,43.45
37,Lavalle,C,2,0.04323406478578893,0.04832509610104338,0.1684983244322541,37,20.0,68.0,42.0,14.0,11.0,31.0,54.15
38,Diagonal Norte,C,4,0.11659700452803903,0.052916416115454,0.2593208778535641,35,1.0,30.0,13.0,2.0,6.0,10.4,93.9
39,Avenida de Mayo,C,3,0.1060170672239638,0.052948255114320095,0.2525998731266645,36,6.0,40.0,12.0,3.0,9.0,14.0,87.5
40,Moreno,C,2,0.07001044932079416,0.050808314087759814,0.20071763581228796,38,20.0,55.0,20.0,11.0,14.0,24.0,62.45
41,Independencia,C,3,0.07654127481713689,0.049079754601226995,0.18006330947288493,40,6.0,54.0,38.0,13.0,25.0,27.2,70.8
42,San Juan,C,2,0.022727272727272728,0.044829342842587876,0.10644111203738525,42,20.0,72.0,52.0,24.0,44.0,42.4,39.65
43,Constitución,C,1,0.0,0.04117922321010763,0.04937926360267603,44,82.0,82.0,62.0,46.0,58.0,66.0,24.1
44,Catedral,D,3,0.08760013932427728,0.0535931790499391,0.2070767208314543,37,6.0,51.0,9.0,9.0,11.0,17.2,83.4
45,9 de Julio,D,4,0.1513409961685824,0.05385556915544676,0.24014623385789294,39,1.0,15.0,8.0,4.0,20.0,9.6,95.2
46,Tribunales,D,2,0.12421630094043888,0.05137186223000584,0.16501837571823497,41,20.0,26.0,16.0,16.0,32.0,22.0,64.4
47,Callao,D,2,0.11794670846394985,0.049689440993788817,0.11556257703608329,41,20.0,29.0,35.0,22.0,32.0,27.6,57.65
48,Facultad de Medicina,D,2,0.11912225705329155,0.049943246311010214,0.08408373185595351,40,20.0,28.0,28.0,30.0,25.0,26.2,59.8
49,Pueyrredón,D,3,0.2434691745036573,0.05113306217315514,0.06568325146046476,38,6.0,3.0,19.0,38.0,14.0,16.0,84.45
50,Agüero,D,2,0.1857366771159875,0.047337278106508875,0.04438137775620226,40,20.0,10.0,45.0,50.0,25.0,30.0,55.3
51,Bulnes,D,2,0.1671891327063741,0.04397801099450275,0.02998069989173813,42,20.0,12.0,56.0,55.0,44.0,37.4,46.9
52,Scalabrini Ortiz,D,2,0.14811912225705332,0.040987424312994875,0.020241646928812633,44,20.0,16.0,64.0,61.0,58.0,43.8,39.35
53,Plaza Italia,D,2,0.12852664576802508,0.03831084022638224,0.013649686819406584,46,20.0,20.0,68.0,66.0,65.0,47.8,35.1
54,Palermo,D,2,0.10841170323928946,0.03590371277029784,0.009179752576513047,48,20.0,35.0,72.0,71.0,69.0,53.4,28.3
55,Ministro Carranza,D,2,0.08777429467084641,0.03372939823687236,0.006136804316471756,50,20.0,47.0,76.0,75.0,73.0,58.2,22.5
56,Olleros,D,2,0.06661442006269593,0.031757488271382174,0.004047726124712454,52,20.0,58.0,80.0,78.0,77.0,62.6,16.95
57,José Hernández,D,2,0.04493207941483804,0.0299625468164794,0.0025877421450828265,54,20.0,63.0,84.0,82.0,81.0,66.0,12.9
58,Juramento,D,2,0.022727272727272728,0.02832314129385259,0.001529905944433574,56,20.0,72.0,88.0,86.0,85.0,70.2,7.55
59,Congreso de Tucumán,D,1,0.0,0.02682109113075282,0.0007098063577726654,58,82.0,82.0,89.0,89.0,88.0,86.0,1.2
60,Bolívar,E,4,0.12774294670846395,0.05330102967898243,0.27780301906001065,38,1.0,24.0,11.0,1.0,14.0,10.2,93.95
61,Belgrano,E,2,0.08699059561128528,0.05131195335276968,0.22279801995775902,40,20.0,52.0,18.0,6.0,25.0,24.2,62.55
62,Independencia,E,3,0.12643678160919541,0.049914917753828704,0.2024556771232225,42,6.0,25.0,30.0,10.0,44.0,23.0,77.15
63,San José,E,2,0.11598746081504703,0.04985835694050991,0.14158479216828151,41,20.0,33.0,32.0,18.0,32.0,27.0,58.15
64,Entre Ríos,E,2,0.11624869383490075,0.049914917753828704,0.10273889141057285,43,20.0,31.0,30.0,27.0,49.0,31.4,54.1
65,Pichincha,E,2,0.11990595611285268,0.050400916380297825,0.07987240872229155,44,20.0,27.0,26.0,31.0,58.0,32.4,54.35
66,Jujuy,E,3,0.23380355276907003,0.05204021289178001,0.06942539319691073,42,6.0,6.0,15.0,34.0,44.0,21.0,79.65
67,General Urquiza,E,2,0.14811912225705332,0.04790419161676647,0.04687678927171125,44,20.0,16.0,44.0,47.0,58.0,37.0,47.85
68,Boedo,E,2,0.12852664576802508,0.04428787116255662,0.031613611866360795,46,20.0,20.0,55.0,53.0,65.0,42.6,41.6
69,Avenida La Plata,E,2,0.10841170323928946,0.04110228865016347,0.021263040314472206,48,20.0,35.0,63.0,59.0,69.0,49.2,33.55
70,José María Moreno,E,2,0.08777429467084641,0.03827751196172249,0.014216151137243251,50,20.0,47.0,69.0,64.0,73.0,54.6,27.0
71,Emilio Mitre,E,2,0.06661442006269593,0.035757822023567656,0.009377704960579646,52,20.0,58.0,73.0,69.0,77.0,59.4,20.95
72,Medalla Milagrosa,E,2,0.04493207941483804,0.03349828701941378,0.005995828474538186,54,20.0,63.0,77.0,76.0,81.0,63.4,16.15
73,Varela,E,2,0.022727272727272728,0.031462281015373614,0.0035451000230704915,56,20.0,72.0,81.0,80.0,85.0,67.6,10.8
74,Plaza de los Virreyes,E,1,0.0,0.029619656681252104,0.0016448543138574134,58,82.0,82.0,85.0,85.0,88.0,84.4,3.2
75,Retiro,E,2,0.0023510971786833857,0.04282238442822384,0.0625182704309329,43,20.0,80.0,57.0,39.0,49.0,49.0,32.35
76,Catalinas,E,2,0.022857889237199586,0.04631578947368421,0.12090171059606213,41,20.0,71.0,46.0,19.0,32.0,37.6,45.15
77,Correo Central,E,3,0.06805120167189134,0.0505166475315729,0.19809549742639415,39,6.0,56.0,23.0,12.0,20.0,23.4,75.45
78,Facultad de Derecho,H,1,0.0,0.044647387113140535,0.012592311631564927,35,82.0,82.0,53.0,67.0,6.0,58.0,31.9
79,Las Heras,H,2,0.022727272727272728,0.04897050639955482,0.027140479697847664,33,20.0,72.0,39.0,56.0,4.0,38.2,43.25
80,Santa Fe,H,3,0.18991640543364682,0.054087277197295634,0.04590443614380962,31,6.0,9.0,7.0,48.0,2.0,14.4,86.65
81,Córdoba,H,2,0.179858934169279,0.05580215599239061,0.05303291233124186,30,20.0,11.0,4.0,45.0,1.0,16.2,72.55
82,Corrientes,H,3,0.3195750609543714,0.059219380888290714,0.06839834411524028,31,6.0,2.0,2.0,35.0,2.0,9.4,92.9
83,Once,H,3,0.33472657610588646,0.05953991880920163,0.06740512204835046,33,6.0,1.0,1.0,37.0,4.0,9.8,92.5
84,Venezuela,H,2,0.2079414838035528,0.05699481865284974,0.057828136133647026,35,20.0,8.0,3.0,41.0,6.0,15.6,73.15
85,Humberto 1º,H,3,0.23380355276907003,0.055345911949685536,0.057231900121917825,37,6.0,6.0,5.0,42.0,11.0,14.0,87.15
86,Inclán,H,2,0.06661442006269593,0.0502283105022831,0.037754548073712445,39,20.0,58.0,27.0,52.0,20.0,35.4,47.7
87,Caseros,H,2,0.04493207941483804,0.045881126173096975,0.024140012101739397,41,20.0,63.0,50.0,58.0,32.0,44.6,35.4
88,Parque Patricios,H,2,0.022727272727272728,0.0421455938697318,0.01427347650062403,43,20.0,72.0,60.0,63.0,49.0,52.8,26.1
89,Hospitales,H,1,0.0,0.038903625110521665,0.006622735588170663,45,82.0,82.0,67.0,73.0,63.0,73.4,15.7
